timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
1999-11-01,70.5,71.0,69.31,69.38,52.0457797885,949300,0.0,1.0
1999-11-02,69.19,71.75,69.13,69.75,52.3233372765,543000,0.0,1.0
1999-11-03,69.81,69.88,68.31,68.75,51.5731819034,924000,0.0,1.0
1999-11-04,69.69,70.75,69.44,70.13,52.6083963183,570400,0.0,1.0
1999-11-05,72.0,74.31,71.25,73.69,55.2789494467,1304900,0.0,1.0
1999-11-08,73.5,73.5,72.5,73.0,54.7613422393,651600,0.0,1.0
1999-11-09,73.5,73.56,71.75,71.88,53.9211682213,695600,0.0,1.0
1999-11-10,71.0,72.75,70.63,71.94,53.9661775437,678700,0.0,1.0
1999-11-11,72.0,73.5,71.56,73.31,54.9938904049,574300,0.0,1.0
1999-11-12,73.94,79.81,73.75,79.75,59.824891008,2227700,0.0,1.0
1999-11-15,78.75,79.94,77.25,78.0,58.512119105,997100,0.0,1.0
1999-11-16,78.38,83.0,78.38,82.81,62.1203664498,1505100,0.0,1.0
1999-11-17,81.13,81.38,78.56,79.56,59.6823614871,1245400,0.0,1.0
1999-11-18,79.81,81.13,79.25,80.19,60.1549593721,1111500,0.0,1.0
1999-11-19,80.0,80.88,79.63,79.94,59.9674205289,329600,0.0,1.0
1999-11-22,79.5,80.25,78.5,79.69,59.7798816856,329900,0.0,1.0
1999-11-23,79.94,80.63,77.5,77.75,58.3245802617,656300,0.0,1.0
1999-11-24,77.5,77.75,76.75,77.13,57.8594839303,515700,0.0,1.0
1999-11-26,77.19,77.75,76.63,77.31,57.9945118975,107600,0.0,1.0
1999-11-29,77.25,77.25,74.38,74.5,55.886575299,517900,0.0,1.0
1999-11-30,74.75,77.13,74.5,75.13,56.359173184,925000,0.0,1.0
1999-12-01,74.75,76.19,74.75,76.19,57.1543378796,500000,0.0,1.0
1999-12-02,76.25,77.63,76.25,77.5,58.1370414184,453600,0.0,1.0
1999-12-03,78.5,80.69,78.38,79.06,59.3072838005,669500,0.0,1.0
1999-12-06,79.19,79.31,76.56,77.0,57.7619637318,295100,0.0,1.0
1999-12-07,77.25,80.94,77.25,80.94,60.717575902,883100,0.0,1.0
1999-12-08,81.81,81.81,80.0,80.0,60.0124298512,732200,0.0,1.0
1999-12-09,80.75,82.25,79.75,80.0,60.0124298512,1205700,0.0,1.0
1999-12-10,80.0,82.44,79.56,82.0,61.5127405975,1386300,0.0,1.0
1999-12-13,81.5,82.94,81.06,82.06,61.5577499199,938500,0.0,1.0
1999-12-14,81.44,81.44,77.81,78.75,59.0747356348,1105800,0.0,1.0
1999-12-15,77.75,79.5,77.75,79.44,59.5923428423,1073800,0.0,1.0
1999-12-16,79.19,79.5,77.75,78.56,58.9322061139,307900,0.0,1.0
1999-12-17,80.19,80.56,78.44,80.19,60.1549593721,542100,0.0,1.0
1999-12-20,82.0,83.63,80.75,81.88,61.4227219527,1302600,0.0,1.0
1999-12-21,80.63,83.0,79.5,80.94,60.717575902,1189900,0.0,1.0
1999-12-22,81.0,81.38,79.13,79.69,59.7798816856,526800,0.0,1.0
1999-12-23,81.0,82.44,80.69,81.0,60.7625852244,532000,0.0,1.0
1999-12-27,80.5,82.88,80.5,82.06,61.5577499199,389200,0.0,1.0
1999-12-28,82.06,85.69,82.06,85.0,63.7632067169,821800,0.0,1.0
1999-12-29,85.5,88.19,85.38,88.0,66.0136728364,794800,0.0,1.0
1999-12-30,90.0,92.88,89.56,92.19,69.1568238498,969200,0.0,1.0
1999-12-31,91.94,94.81,91.5,94.19,70.6571345961,383500,0.0,1.0
2000-01-03,94.19,94.19,87.75,88.31,66.246221002,1822600,0.0,1.0
2000-01-04,87.0,87.5,82.25,82.75,62.0753571274,1647700,0.0,1.0
2000-01-05,80.88,81.88,79.0,79.69,59.7798816856,1516600,0.0,1.0
2000-01-06,78.63,84.5,78.63,82.25,61.7002794408,1845100,0.0,1.0
2000-01-07,83.06,83.19,79.88,82.56,61.9328276065,1127400,0.0,1.0
2000-01-10,81.75,84.88,81.75,84.38,63.2981103856,803100,0.0,1.0
2000-01-11,85.0,86.25,84.56,84.81,63.620677196,808600,0.0,1.0
2000-01-12,84.13,86.0,83.38,84.38,63.2981103856,916100,0.0,1.0
2000-01-13,85.13,85.13,82.88,84.5,63.3881290304,711000,0.0,1.0
2000-01-14,85.5,86.94,85.31,85.63,64.235804602,607000,0.0,1.0
2000-01-18,85.0,89.13,84.75,86.88,65.1734988184,1095700,0.0,1.0
2000-01-19,86.88,89.38,86.75,87.56,65.6836044722,636900,0.0,1.0
2000-01-20,87.0,87.94,84.88,85.94,64.5583714125,621800,0.12,1.0
2000-01-21,86.19,86.19,84.56,85.69,64.3705707044,542500,0.0,1.0
2000-01-24,87.5,87.5,81.5,81.75,61.4108315449,712900,0.0,1.0
2000-01-25,83.0,84.19,82.38,83.88,63.0108935778,749300,0.0,1.0
2000-01-26,84.13,88.5,84.13,88.25,66.2936499552,1086600,0.0,1.0
2000-01-27,88.25,89.94,87.63,89.0,66.8570520795,702000,0.0,1.0
2000-01-28,87.5,88.0,86.13,87.0,65.3546464148,776800,0.0,1.0
2000-01-31,87.0,91.69,86.5,91.63,68.8327155286,801800,0.0,1.0
2000-02-01,92.88,93.0,90.5,91.25,68.5472584523,813100,0.0,1.0
2000-02-02,90.75,91.63,88.63,91.13,68.4571141124,964700,0.0,1.0
2000-02-03,90.0,91.13,84.81,85.38,64.1376978264,2213300,0.0,1.0
2000-02-04,84.69,85.31,83.56,84.69,63.619367872,1451700,0.0,1.0
2000-02-07,84.44,86.5,83.5,85.75,64.4156428743,929800,0.0,1.0
2000-02-08,85.75,89.63,85.75,89.44,67.1875813257,1024800,0.0,1.0
2000-02-09,89.44,89.44,86.56,86.75,65.1668457067,397100,0.0,1.0
2000-02-10,86.75,87.31,85.5,86.63,65.0767013668,503200,0.0,1.0
2000-02-11,86.44,88.75,85.0,85.13,63.9498971183,856900,0.0,1.0
2000-02-14,85.13,86.88,84.63,86.5,64.9790449986,627800,0.0,1.0
2000-02-15,86.25,86.63,85.13,86.5,64.9790449986,542400,0.0,1.0
2000-02-16,86.75,87.31,82.88,82.94,62.3047629154,720300,0.0,1.0
2000-02-17,84.75,84.75,81.13,82.13,61.6962886212,895500,0.0,1.0
2000-02-18,84.5,84.5,80.75,80.81,60.7047008825,925500,0.0,1.0
2000-02-22,81.25,82.38,80.69,81.56,61.2681030068,720100,0.0,1.0
2000-02-23,81.31,87.0,81.06,85.75,64.4156428743,702900,0.0,1.0
2000-02-24,85.81,89.94,85.5,89.63,67.3303098639,1199800,0.0,1.0
2000-02-25,89.44,94.0,88.25,89.25,67.0448527876,1333000,0.0,1.0
2000-02-28,89.25,89.25,87.0,88.0,66.1058492471,518000,0.0,1.0
2000-02-29,88.75,92.5,88.0,92.5,69.4862619927,1381200,0.0,1.0
2000-03-01,93.25,96.75,93.19,94.75,71.1764683655,1488900,0.0,1.0
2000-03-02,95.25,97.88,94.13,96.25,72.303272614,1819200,0.0,1.0
2000-03-03,97.0,102.5,96.75,102.5,76.9982903162,2295900,0.0,1.0
2000-03-06,102.8,105.3,102.4,103.7,77.8997337151,1421000,0.0,1.0
2000-03-07,103.9,105.8,102.4,104.9,78.8011771139,1041300,0.0,1.0
2000-03-08,105.0,105.4,99.69,101.8,76.4724483336,1041100,0.0,1.0
2000-03-09,101.8,108.2,101.3,107.2,80.5289436283,535500,0.0,1.0
2000-03-10,109.8,119.0,108.5,112.3,84.3600780733,2034400,0.0,1.0
2000-03-13,107.5,115.5,106.5,110.4,82.9327926918,1454200,0.0,1.0
2000-03-14,111.5,112.9,103.5,104.8,78.7260568307,653100,0.0,1.0
